,muonID1,muonID2,x1,x1_normed,y1,y1_normed,z1,z1_normed,p1,t1_normed,t1,x2,x2_normed,y2,y2_normed,z2,z2_normed,t2_normed,t2,label
4526,1,1,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.1490582515,0.085185185,1925,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.085185185,1925,1
3234,1,1,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.1357584945,0.085185185,1925,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.085185185,1925,1
3880,1,1,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.121118466,0.085185185,1925,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.085185185,1925,1
1941,1,1,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.106061119,0.085185185,1925,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.085185185,1925,1
1295,1,1,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.07829927427,0.085185185,1925,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.085185185,1925,1
3,1,1,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.0670591686,0.085185185,1925,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.085185185,1925,1
649,1,1,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.0577283115,0.085185185,1925,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.085185185,1925,1
4524,1,1,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.1490582515,0.085185185,1925,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.085185185,1925,1
3232,1,1,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.1357584945,0.085185185,1925,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.085185185,1925,1
3878,1,1,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.121118466,0.085185185,1925,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.085185185,1925,1
1940,1,1,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.106061119,0.085185185,1925,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.085185185,1925,1
2586,1,1,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.09148621976,0.085185185,1925,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.085185185,1925,1
1,1,1,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.0670591686,0.085185185,1925,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.085185185,1925,1
647,1,1,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.0577283115,0.085185185,1925,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.085185185,1925,1
4522,1,1,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.1490582515,0.085185185,1925,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.085185185,1925,1
3230,1,1,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.1357584945,0.085185185,1925,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.085185185,1925,1
3876,1,1,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.121118466,0.085185185,1925,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.085185185,1925,1
1938,1,1,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.106061119,0.085185185,1925,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.085185185,1925,1
2584,1,1,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.09148621976,0.085185185,1925,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.085185185,1925,1
1292,1,1,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.07829927427,0.085185185,1925,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.085185185,1925,1
646,1,1,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.0577283115,0.085185185,1925,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.085185185,1925,1
4523,1,1,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.1490582515,0.085185185,1925,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.085185185,1925,1
3231,1,1,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.1357584945,0.085185185,1925,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.085185185,1925,1
3877,1,1,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.121118466,0.085185185,1925,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.085185185,1925,1
1939,1,1,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.106061119,0.085185185,1925,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.085185185,1925,1
2585,1,1,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.09148621976,0.085185185,1925,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.085185185,1925,1
1293,1,1,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.07829927427,0.085185185,1925,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.085185185,1925,1
0,1,1,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.0670591686,0.085185185,1925,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.085185185,1925,1
9698,3,3,-251.461,0.053183573,39.8274,0.564395226,31.17,0.574224955,0.02407287122,0.489351852,10655,-274.045,0.013548614,-3.36E-14,4.94E-01,26.23,0.561568025,0.489351852,10655,1
12282,3,3,-222.98,0.103167778,72.4506,0.621649,35.92,0.586395081,0.02226097371,0.489351852,10655,-274.045,0.013548614,-3.36E-14,4.94E-01,26.23,0.561568025,0.489351852,10655,1
